3-Letter,Bulk,Hydrophobicity_I_type,Hydrophobicity_II_type,Hydrophobicity_III_type,Beta-structure_preference_I_type,Beta-structure_preference_II_type,a-helix_preferences,Bend-structure_preference_I_type,Bend-structure_preference_II_type,a-helix_or_bend-structure_preference-related,bulk-related,beta-structure_preference-related,hydrophobicity-related,Normalized_frequency_of_double_bend,Average_value_of_partial_specific_volume,Average_relative_fractional_occurrence_in_E0,Normalized_frequency_of_a-region,pK-C,Surrounding_hydrophobicity_in_beta-structure
ALA,-1.44,-0.47,0.11,0.32,-0.51,-0.86,1.35,-1.29,-0.6,-1.56,-1.67,-0.97,-0.27,-0.93,-0.78,-0.2,-0.08,0.21,-0.48
ARG,1.16,-0.57,-1.52,-1.07,-0.28,-0.13,-0.16,0.28,-0.03,0.22,1.27,1.37,1.87,-1.7,0.46,0.92,-0.39,0.23,0.93
ASN,-0.34,-1.25,-0.6,-0.96,-1,-1.19,-0.97,1.19,1.27,1.14,-0.07,-0.12,0.81,0.18,0.37,-0.09,1.23,1.1,-1.73
ASP,-0.54,-0.75,-1.74,-1.07,-1.17,-1.72,-0.06,0.74,1.39,0.58,-0.22,-1.58,0.81,-0.92,0.15,-1.52,0.47,0.76,0.7
CYS,-0.75,0.06,0.63,1.5,0.6,1.14,-0.53,1.18,-0.19,0.12,-0.89,0.45,-1.05,-0.71,2.41,1.52,-0.69,1.13,1.1
GLN,0.22,-1.24,-0.46,-1.05,0.19,-0.42,0.57,-0.14,-0.12,-0.47,0.24,0.07,1.1,1.1,0.59,0.84,-0.71,-0.03,-2.33
GLU,0.17,-0.62,-1.65,-1.03,-1.74,-1.78,1.96,-1.21,-0.27,-1.45,0.19,-1.61,1.17,-1.31,0.4,0.04,0.38,-0.35,-0.12
GLY,-2.16,-1.02,-0.19,-0.03,-0.84,-0.99,-1.72,1.43,1.73,1.46,-1.96,-0.23,-0.16,0.1,-0.11,1.32,2.36,-1.66,0.46
HIS,0.52,-0.46,-0.18,-0.13,-0.56,-0.1,0.59,-0.27,-0.27,-0.41,0.52,-0.28,0.28,1.61,1.01,-1.85,0.47,1.13,1.63
ILE,0.21,1.37,0.97,1.52,1.91,1.27,0.06,-1.3,-1.49,-0.73,-0.16,1.79,-0.77,-0.54,0.03,-0.83,0.51,0.66,-1.78
LEU,0.25,1.06,1.01,1.14,0.69,0.02,0.93,-1.36,-1.14,-1.04,0,-0.24,-1.1,-0.55,-2.05,0.96,-0.76,0.45,0.93
LYS,0.68,-0.16,-1.62,-1.76,-0.86,-1.19,0.71,0.4,0.15,-0.34,0.82,-0.23,1.7,1.54,-1.62,1.15,-0.08,-0.48,0.6
MET,0.44,0.2,0.72,1,0.45,0.24,1.39,-1.24,-1.29,-1.4,0.18,-0.42,-0.73,2,1.52,0.26,0.11,-1.27,0.27
PHE,1.09,1.46,1.24,1.16,0.88,0.48,0.37,-0.46,-0.75,-0.21,0.98,-0.36,-1.43,0.22,-0.81,0.67,1.1,1.71,-0.44
PRO,-0.71,0.9,0.21,-0.72,-1.26,0.86,-1.72,1.03,1.98,2.06,-0.33,-1.15,-0.75,0.88,-0.45,0.3,-2.3,0.74,-0.28
SER,-1.21,-1.19,-0.33,-0.46,-0.54,0.22,-0.99,0.74,1.02,0.81,-1.08,0.16,0.42,-0.21,-0.43,-1.89,-1.15,-0.97,-0.23
THR,-0.67,-0.97,0.01,-0.36,0.57,0.86,-0.68,0.11,0.14,0.26,-0.7,1.21,0.63,-0.1,0.21,0.24,-1.15,-0.56,0.19
TRP,2.08,2.06,1.55,0.67,0.61,0.42,0.23,0.83,-0.52,0.3,2.1,-0.72,-1.57,-1.16,0.57,-0.48,-0.4,-2.3,-0.6
TYR,1.34,1.16,1.04,-0.07,1.02,1.21,-1.25,0.94,0.3,1.38,1.48,0.8,-0.56,0,-0.68,-0.31,1.03,-0.05,0.53
VAL,-0.34,0.42,0.77,1.38,1.84,1.66,-0.09,-1.63,-1.32,-0.74,-0.71,2.04,-0.4,0.5,-0.81,-1.07,0.06,-0.46,0.65
